Question String,Pronoun,Split1,Split2,Option1,Option2 
Nicole was angry at Sammie since she caught her in a lie.,she,Nicole was angry at Sammie since,she caught her in a lie.,Nicole,Sammie
Pizza hut pizzas are tastier than Papa John pizzas because they give more ingredients and cheeses.,they,Pizza hut pizzas are tastier than Papa John pizzas because,they give more ingredients and cheeses.,Pizza,Papa John
Pizza hut pizzas are tastier than Papa John pizzas because they give less ingredients and cheeses.,they,Pizza hut pizzas are tastier than Papa John pizzas because,they give less ingredients and cheeses.,Pizza,Papa John
The Axis forces lost the war to the Allied forces because they fought on too many fronts.,they,The Axis forces lost the war to the Allied forces because,they fought on too many fronts.,The Axis forces,the Allied forces
The Axis forces lost the war to the Allied forces because they took advantage of their weakness.,they,The Axis forces lost the war to the Allied forces because,they took advantage of their weakness.,The Axis forces,the Allied forces
Frosted Flakes is tastier than Fiber One because they use frosting on the cereal.,they,Frosted Flakes is tastier than Fiber One because,they use frosting on the cereal.,Frosted Flakes,Fiber One
Frosted Flakes is tastier than Fiber One because they taste bland due to the fiber.,they,Frosted Flakes is tastier than Fiber One because,they taste bland due to the fiber.,Frosted Flakes,Fiber One
Gladiators are viewed better than Slaves because they fight to the death in the arena.,they,Gladiators are viewed better than Slaves because,they fight to the death in the arena.,Gladiators,Slaves
Gladiators are viewed better than Slaves because they live in a life of servitude instead of dying in glory.,they,Gladiators are viewed better than Slaves because,they live in a life of servitude instead of dying in glory.,Gladiators,Slaves
Apple sued Samsung because they felt their intellectual properties were being infringed upon.,they,Apple sued Samsung because,they felt their intellectual properties were being infringed upon.,Apple,Samsung
Apple sued Samsung because they made a product that has similarities with their own.,they,Apple sued Samsung because,they made a product that has similarities with their own.,Apple,Samsung
Battlefield 3 is garnering more attention than Modern Warfare because they have graphics that are on a whole new level.,they,Battlefield 3 is garnering more attention than Modern Warfare because,they have graphics that are on a whole new level.,Battlefield 3,Modern Warfare
Battlefield 3 is garnering more attention than Modern Warfare because they contain outdated graphics.,they,Battlefield 3 is garnering more attention than Modern Warfare because,they contain outdated graphics.,Battlefield 3,Modern Warfare
King Leonidas was more respected than King Henry because he treated the people as equal citizens.,he,King Leonidas was more respected than King Henry because,he treated the people as equal citizens.,King Leonidas,King Henry
King Leonidas was more respected then King Henry because he unfairly taxed the people.,he,King Leonidas was more respected then King Henry because,he unfairly taxed the people.,King Leonidas,King Henry
Gas powered fireplaces are environmentally friendly as compared to traditional fireplaces since they do not need wood to burn.,they,Gas powered fireplaces are environmentally friendly as compared to traditional fireplaces since,they do not need wood to burn.,Gas powered fireplaces,traditional fireplaces
Gas powered fireplaces are environmentally friendly as compared to traditional fireplaces since they require wood to function.,they,Gas powered fireplaces are environmentally friendly as compared to traditional fireplaces since,they require wood to function.,Gas powered fireplaces,traditional fireplaces
Kate Middleton is viewed as a newer generation Princess Diana because she was a symbol of fashion as the previous queen.,she,Kate Middleton is viewed as a newer generation Princess Diana because,she was a symbol of fashion as the previous queen.,Kate Middleton,Princess Diana
Kate Middleton is viewed as a newer generation Princess Diana because she is also being compared as a fashion symbol.,she,Kate Middleton is viewed as a newer generation Princess Diana because,she is also being compared as a fashion symbol.,Kate Middleton,Princess Diana
The older male cat is bullying the new younger male cat so that he can assert his dominance.,he,The older male cat is bullying the new younger male cat so that,he can assert his dominance.,The older male cat,the new younger male cat
The older male cat is bullying the new younger male cat so he has been submissive.,he,The older male cat is bullying the new younger male cat so,he has been submissive.,The older male cat,the new younger male cat
The Batman does not kill Joker because he is good at heart.,he,The Batman does not kill Joker because,he is good at heart.,The Batman,Joker
The Batman does not kill Joker because he is always thrown in jail instead.,he,The Batman does not kill Joker because,he is always thrown in jail instead.,The Batman,Joker
The DEA raided the Mexican Cartel's warehouse because they suspected a drug business was occurring.,they,The DEA raided the Mexican Cartel's warehouse because,they suspected a drug business was occurring.,DEA,Mexican Cartel
The DEA raided the Mexican Cartel's warehouse because they had their drug business discovered.,they,The DEA raided the Mexican Cartel's warehouse because,they had their drug business discovered.,DEA,Mexican Cartel
"Rob was granted a gun license while Jon was not, because he had passed the background check.",he,"Rob was granted a gun license while Jon was not, because",he had passed the background check.,Rob,Jon
"Rob was granted a gun license while Jon was not, because he had a criminal past.",he,"Rob was granted a gun license while Jon was not, because",he had a criminal past.,Rob,Jon
